FIPS,county,census_2010_count,july1_2013_pop_est,jan1_2014_pop_est,num_chg_10_13,num_chg_10_14,pct_chg_10_13,pct_chg_10_14
001,Anderson,58458,59008,59030,550,572,0.9,1.0
003,Andrews,14786,16491,16729,1705,1943,11.5,13.1
005,Angelina,86771,89839,90350,3068,3579,3.5,4.1
007,Aransas,23158,24385,24669,1227,1511,5.3,6.5
009,Archer,9054,9242,9362,188,308,2.1,3.4
011,Armstrong,1901,1944,1949,43,48,2.3,2.5
013,Atascosa,44911,47125,47197,2214,2286,4.9,5.1
015,Austin,28417,29178,29346,761,929,2.7,3.3
017,Bailey,7165,7140,7058,-25,-107,-0.3,-1.5
019,Bandera,20485,20942,21036,457,551,2.2,2.7
021,Bastrop,74171,78707,79514,4536,5343,6.1,7.2
023,Baylor,3726,3631,3562,-95,-164,-2.5,-4.4
025,Bee,31861,32414,32399,553,538,1.7,1.7
027,Bell,310235,326917,328974,16682,18739,5.4,6.0
029,Bexar,1714773,1813421,1827782,98648,113009,5.8,6.6
031,Blanco,10497,10591,10479,94,-18,0.9,-0.2
033,Borden,641,657,662,16,21,2.5,3.3
035,Bosque,18212,18454,18445,242,233,1.3,1.3
037,Bowie,92565,94440,94714,1875,2149,2.0,2.3
039,Brazoria,313166,330385,333224,17219,20058,5.5,6.4
041,Brazos,194851,203420,204362,8569,9511,4.4,4.9
043,Brewster,9232,9274,9225,42,-7,0.5,-0.1
045,Briscoe,1637,1541,1486,-96,-151,-5.9,-9.2
047,Brooks,7223,7292,7287,69,64,1.0,0.9
049,Brown,38106,38889,38939,783,833,2.1,2.2
051,Burleson,17187,17467,17348,280,161,1.6,0.9
053,Burnet,42750,44376,44618,1626,1868,3.8,4.4
055,Caldwell,38066,39231,39333,1165,1267,3.1,3.3
057,Calhoun,21381,21729,21762,348,381,1.6,1.8
059,Callahan,13544,13955,14123,411,579,3.0,4.3
061,Cameron,406220,421288,423131,15068,16911,3.7,4.2
063,Camp,12401,12617,12664,216,263,1.7,2.1
065,Carson,6182,6117,6009,-65,-173,-1.1,-2.8
067,Cass,30464,30784,30933,320,469,1.1,1.5
069,Castro,8062,8026,7951,-36,-111,-0.4,-1.4
071,Chambers,35096,36774,36785,1678,1689,4.8,4.8
073,Cherokee,50845,52538,52971,1693,2126,3.3,4.2
075,Childress,7041,7047,7045,6,4,0.1,0.1
077,Clay,10752,10844,10849,92,97,0.9,0.9
079,Cochran,3127,3013,2954,-114,-173,-3.6,-5.5
